Name,Level,Attribute, Monster Type , Card Type ,Atk,Def,Description,Price,AttackerEffect,BeingAttackedEffect,ContinuousMonsterEffect,FlipEffect,OptionalMonsterEffect,SentToGraveyardEffect,SummoningRequirement,UponSummoningEffect
Battle OX,4,EARTH,Beast-Warrior,Normal,1700,1000,"A monster with tremendous power, it destroys enemies with a swing of its axe.",2900,",",",",",",",",",",",",",CAN_BE_NORMAL_SUMMONED",","
Axe Raider,4,EARTH,Warrior,Normal,1700,1150,An axe-wielding monster of tremendous strength and agility.,3100,",",",",",",",",",",",",",CAN_BE_NORMAL_SUMMONED",","
Yomi Ship,3,WATER,Aqua,Effect,800,1400,If this card is destroyed by battle and sent to the GY: Destroy the monster that destroyed this card.,1700,",",",IF_DESTROYED_AND_SENT_TO_GRAVEYARD_SEND_ATTACKING_MONSTER_TO_GRAVEYARD",",",",",",",",",",CAN_BE_NORMAL_SUMMONED",","
Horn Imp,4,DARK,Fiend,Normal,1300,1000,"A small fiend that dwells in the dark, its single horn makes it a formidable opponent.",2500,",",",",",",",",",",",",",CAN_BE_NORMAL_SUMMONED",","
Silver Fang,3,EARTH,Beast,Normal,1200,800,"A snow wolf that's beautiful to the eye, but absolutely vicious in battle.",1700,",",",",",",",",",",",",",CAN_BE_NORMAL_SUMMONED",","
Suijin,7,WATER,Aqua,Effect,2500,2400,"During damage calculation in your opponent's turn, if this card is being attacked: You can target the attacking monster; make that target's ATK 0 during damage calculation only (this is a Quick Effect). This effect can only be used once while this card is face-up on the field.",8700,",",",SET_ATTACKING_MONSTER_ATK_TO_0_ONCE_PER_TURN",",",",",",",",",",CAN_BE_TRIBUTE_SUMMONED,CAN_BE_NORMAL_SUMMONED,TRIBUTE_2_MONSTERS",","
Fireyarou,4,FIRE,Pyro,Normal,1300,1000,A malevolent creature wrapped in flames that attacks enemies with intense fire.,2500,",",",",",",",",",",",",",CAN_BE_NORMAL_SUMMONED",","
Curtain of the dark ones,2,DARK,Spellcaster,Normal,600,500,"A curtain that a spellcaster made, it is said to raise a dark power.",700,",",",",",",",",",",",",",CAN_BE_NORMAL_SUMMONED",","
Feral Imp,4,DARK,Fiend,Normal,1300,1400,"A playful little fiend that lurks in the dark, waiting to attack an unwary enemy.",2800,",",",",",",",",",",",",",CAN_BE_NORMAL_SUMMONED",","
Dark magician,7,DARK,Spellcaster,Normal,2500,2100,The ultimate wizard in terms of attack and defense.,8300,",",",",",",",",",",",",",CAN_BE_TRIBUTE_SUMMONED,CAN_BE_NORMAL_SUMMONED,TRIBUTE_2_MONSTERS",","
Wattkid,3,LIGHT,Thunder,Normal,1000,500,A creature that electrocutes opponents with bolts of lightning.,1300,",",",",",",",",",",",",",CAN_BE_NORMAL_SUMMONED",","
Baby dragon,3,WIND,Dragon,Normal,1200,700,"Much more than just a child, this dragon is gifted with untapped power.",1600,",",",",",",",",",",",",",CAN_BE_NORMAL_SUMMONED",","
Hero of the east,3,EARTH,Warrior,Normal,1100,1000,Feel da strength ah dis sword-swinging samurai from da Far East.,1700,",",",",",",",",",",",",",CAN_BE_NORMAL_SUMMONED",","
Battle warrior,3,EARTH,Warrior,Normal,700,1000,A warrior that fights with his bare hands!!!,1300,",",",",",",",",",",",",",CAN_BE_NORMAL_SUMMONED",","
Crawling dragon,5,EARTH,Dragon,Normal,1600,1400,"This weakened dragon can no longer fly, but is still a deadly force to be reckoned with.",3900,",",",",",",",",",",",",",CAN_BE_TRIBUTE_SUMMONED,CAN_BE_NORMAL_SUMMONED,TRIBUTE_1_MONSTER",","
Flame manipulator,3,FIRE,Spellcaster,Normal,900,1000,"This Spellcaster attacks enemies with fire-related spells such as ""Sea of Flames"" and ""Wall of Fire"".",1500,",",",",",",",",",",",",",CAN_BE_NORMAL_SUMMONED",","
Blue-Eyes white dragon,8,LIGHT,Dragon,Normal,3000,2500,"This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale.",11300,",",",",",",",",",",",",",CAN_BE_TRIBUTE_SUMMONED,CAN_BE_NORMAL_SUMMONED,TRIBUTE_2_MONSTERS",","
Crab Turtle,8,WATER,Aqua,Ritual,2550,2500,"This monster can only be Ritual Summoned with the Ritual Spell Card, ""Turtle Oath"". You must also offer monsters whose total Level Stars equal 8 or more as a Tribute from the field or your hand.",10200,",",",",",",",",",",",",",CAN_BE_TRIBUTE_SUMMONED,TRIBUTE_2_MONSTERS",","
Skull Guardian,7,LIGHT,Warrior,Ritual,2050,2500,"This monster can only be Ritual Summoned with the Ritual Spell Card, ""Novox's Prayer"". You must also offer monsters whose total Level Stars equal 7 or more as a Tribute from the field or your hand.",7900,",",",",",",",",",",",",",CAN_BE_TRIBUTE_SUMMONED,TRIBUTE_2_MONSTERS",","
Slot Machine,7,DARK,Machine,Normal,2000,2300,The machine's ability is said to vary according to its slot results.,7500,",",",",",",",",",",",",",CAN_BE_TRIBUTE_SUMMONED,CAN_BE_NORMAL_SUMMONED,TRIBUTE_2_MONSTERS",","
Haniwa,2,EARTH,Rock,Normal,500,500,An earthen figure that protects the tomb of an ancient ruler.,600,",",",",",",",",",",",",",CAN_BE_NORMAL_SUMMONED",","
Man-Eater Bug,2,EARTH,Insect,Effect,450,600,FLIP: Target 1 monster on the field; destroy that target.,600,",",",",",",",DESTROY_1_MONSTER_ON_THE_FIELD",",",",",",CAN_BE_NORMAL_SUMMONED",","
Gate Guardian,11,DARK,Warrior,Effect,3750,3400,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by Tributing 1 ""Sanga of the Thunder"", ""Kazejin"", and ""Suijin"".",20000,",",",",",",",",",",",",",TRIBUTE_3_MONSTERS,CAN_BE_SPECIAL_SUMMONED",","
Scanner,1,LIGHT,Machine,Effect,0,0,"Once per turn, you can select 1 of your opponent's monsters that is removed from play. Until the End Phase, this card's name is treated as the selected monster's name, and this card has the same Attribute, Level, ATK, and DEF as the selected monster. If this card is removed from the field while this effect is applied, remove it from play.",8000,",",",",",",",",",ONCE_PER_TURN_CHOOSE_A_MONSTER_IN_YOUR_OPPONENTS_GRAVEYARD_AND_COPY_ALL_CHARACTERISTICS_UNTIL_THE_END_OF_THAT_TURN",",",",CAN_BE_NORMAL_SUMMONED",","
Bitron,2,EARTH,Cyberse,Normal,200,2000,A new species found in electronic space. There's not much information on it.,1000,",",",",",",",",",",",",",CAN_BE_NORMAL_SUMMONED",","
